INDEX,POS1,POS2,CNTX,OBJ1,OBJ2,STAR
507,1,0,2,0,0.448529412,0
508,1,0,2,0,0.470588235,0
509,1,0,2,0,0.492647059,0
510,1,0,2,0,0.514705882,0
511,1,0,2,0,0.536764706,0
512,1,0,2,0,0.558823529,0
513,1,0,2,0,0.580882353,0
514,1,0,2,0,0.602941176,0
515,1,0,2,0,0.625,0
516,1,0,2,0,0.647058824,0
517,1,0,2,0,0.669117647,0
518,1,0,2,0,0.691176471,0
519,1,0,2,0,0.713235294,0
520,1,0,2,0,0.735294118,0
521,1,0,2,0,0.757352941,0
522,1,0,2,0,0.779411765,0
523,1,0,2,0,0.801470588,0
524,1,0,2,0,0.823529412,0
525,1,0,2,0,0.845588235,0
526,1,0,2,0,0.867647059,0
527,1,0,2,0,0.889705882,0
528,1,0,2,0,0.911764706,0
529,1,0,2,0,0.933823529,0
530,1,0,2,0,0.955882353,0
531,1,0,2,0,0.977941176,0
532,1,0,2,0,1,0
